name,s_max_kva,max_i_a,r_mohm_per_km,x_mohm_per_km,z_mohm_per_km,cost_eur,typ,application_area
Tr_100,100,,,,,2000,Transformer,1
Tr_160,160,,,,,3000,Transformer,2
Tr_250,250,,,,,5000,Transformer,3
Tr_400,400,,,,,8000,Transformer,4
Tr_630,630,,,,,12000,Transformer,
NAYY_4_185,,313,164,80,181,33,Cable,0
NYY_4_95,,280,193,82,210,37,Cable,1
NAYY_4_150,,270,208,80,223,24,Cable,2
NFA2X_4_95,,245,320,0,320,10,Cable,3
NAYY_4_120,,242,225,80,239,19,Cable,4
NYY_4_70,,232,268,82,280,28,Cable,5
NAYY_4_95,,215,320,82,330,21,Cable,6
NFA2X_4_70,,205,443,0,443,8,Cable,7
NFA2X_4_50,,165,641,0,641,7,Cable,8
NAYY_4_50,,142,642,83,647,11,Cable,9
NYY_4_35,,159,524,85,531,16,Cable,10
NYY_4_16,,103,1150,90,1153,7,Cable,11
